FarmerID,Name,Village,Land_Size_Acres,Crop_Type
F0001,Priya Kumar,Tumkur,4.06,Wheat
F0002,Kavita Rao,Mysore,9.53,Millets
F0003,Meera Patel,Bagalkot,7.45,Sugarcane
F0004,Asha Kumar,Mandya,6.19,Wheat
F0005,Kavita Acharya,Uttara Kannada,1.98,Rice
F0006,Meera Gupta,Kodagu,1.98,Sugarcane
F0007,Kavita Chopra,Bagalkot,1.05,Maize
F0008,Ravi Singh,Kolar,8.73,Maize
F0009,Rohan Rao,Shimoga,6.21,Pulses
F0010,Manoj Reddy,Mandya,7.23,Sugarcane
F0011,Priya Khan,Raichur,0.7,Cotton
F0012,Rohan Sharma,Hassan,9.71,Cotton
F0013,Priya Bedi,Mandya,8.41,Cotton
F0014,Deepa Bhat,Raichur,2.52,Cotton
F0015,Vijay Patel,Hosur,2.23,Millets
F0016,Kavita Desai,Mandya,2.24,Pulses
F0017,Kavita Reddy,Bidar,3.39,Maize
F0018,Anil Khan,Davanagere,5.49,Maize
F0019,Sunita Gupta,Tumkur,4.6,Millets
F0020,Suresh Bhat,Davanagere,3.27,Cotton
F0021,Kavita Singh,Hassan,6.31,Sugarcane
F0022,Rohan Malhotra,Bengaluru Rural,1.83,Millets
F0023,Manoj Sharma,Bengaluru Rural,3.28,Pulses
F0024,Asha Joshi,Bidar,3.98,Maize
F0025,Suresh Gupta,Bagalkot,4.83,Millets
F0026,Manoj Gupta,Chikkamagaluru,7.96,Sugarcane
F0027,Anil Rao,Tumkur,2.4,Wheat
F0028,Kavita Malhotra,Kodagu,5.39,Maize
F0029,Arun Mehta,Bagalkot,6.13,Sugarcane
F0030,Sunita Iyer,Hubli,0.94,Cotton
F0031,Pooja Patel,Hosur,6.27,Pulses
F0032,Priya Rao,Davanagere,2.12,Pulses
F0033,Neha Bhat,Mandya,1.12,Sugarcane
F0034,Raj Bhat,Hassan,9.51,Cotton
F0035,Rohan Malhotra,Belur,9.67,Millets
F0036,Priya Malhotra,Tumkur,8.18,Pulses
F0037,Manoj Reddy,Chitradurga,3.39,Sugarcane
F0038,Rekha Chopra,Belur,1.43,Millets
F0039,Rohan Acharya,Davanagere,7.0,Cotton
F0040,Priya Desai,Udupi,4.68,Cotton
F0041,Vijay Rao,Raichur,1.66,Pulses
